longitude,latitude,name,place,score,sense,thoughts,sounds
77.5016708,12.9665733,ITI Layout,neighbourhood,68,layered,calm,
77.5310839,12.9725171,NHCS Layout,neighbourhood,64,layered,calm,
77.53298,12.9738535,Central Excise Layout,neighbourhood,65,layered,calm,
77.5537486,12.9783352,Rajajinagar 6th Block,neighbourhood,83,blast,calm,
77.5764654,13.0268483,Poojary Layout,neighbourhood,68,layered,calm,
77.6178772,12.9852683,Kothandram Layout,neighbourhood,72,mixed,vibrant,
77.528243,12.9764697,Sampige Layout,neighbourhood,81,blast,vibrant,
77.5291201,12.9739241,Amarjyothi Nagar,neighbourhood,59,layered,calm,
77.5255041,12.9769861,Kaveri Pura,neighbourhood,71,layered,calm,
77.6306777,12.9775466,Lakshmipuram,neighbourhood,72,mixed,vibrant,
77.6437106,12.9689409,HAL 2nd Stage,neighbourhood,81,blast,vibrant,
77.6556155,12.8529125,Doddathoguru,neighbourhood,59,mixed,alive,
77.5356688,12.8698169,Thalaghattapura,neighbourhood,79,layered,calm,
77.6416769,12.9839881,Binnamangala,neighbourhood,78,mixed,vibrant,
77.580509,12.8884396,RBI Layout,neighbourhood,80,blast,calm,
77.5828765,12.8823286,Navodaya Nagar,neighbourhood,75,layered,calm,
77.5824835,12.8831747,Shreyas Colony,neighbourhood,71,layered,calm,
77.5810914,12.8929519,Sri Rama Layout,neighbourhood,56,layered,calm,
77.5825355,12.8947001,Jagruthi Colony,neighbourhood,78,layered,calm,
77.5631012,12.9976424,Maruthi Extension,neighbourhood,56,layered,calm,
77.5590106,13.0000366,Gayatri Nagar,neighbourhood,36,bleh,chaotic,
77.5777361,12.8918543,Sri Guru Raghavendra Nagar,neighbourhood,67,layered,calm,
77.5786648,12.8925603,Lakshmi Nagar,neighbourhood,71,layered,calm,
77.5759295,12.8917159,Eshwara Layout,neighbourhood,57,layered,calm,
77.5759964,12.890563,Yadava Layout,neighbourhood,60,layered,calm,
77.5837404,12.893481,Bank of Baroda Colony,neighbourhood,58,layered,calm,
77.5854089,12.8853616,Sun City Layout,neighbourhood,72,layered,calm,
77.5753526,13.0311884,AECS Layout,neighbourhood,63,mixed,alive,
77.5800418,12.8971719,Ramappa Layout,neighbourhood,78,layered,calm,
77.5836989,12.8900173,Nataraja Layout,neighbourhood,67,layered,calm,
77.588126,12.8833125,M S Ramaiah City,neighbourhood,66,layered,calm,
77.5837803,12.8829972,Nrupathunga Nagar,neighbourhood,57,layered,calm,
77.5696419,13.0307999,Jaladarshini Layout,neighbourhood,65,layered,calm,
77.6756305,12.9746062,Maruthi Nagar,neighbourhood,79,layered,chaotic,
77.7592972,12.9409303,Madhuranagara,neighbourhood,47,mixed,alive,
77.734857,13.0331172,Virgonagar,neighbourhood,69,layered,calm,
77.714279,13.0258004,Bhattarahalli,neighbourhood,64,layered,calm,
77.7423548,12.9198797,Gunjur Hosahalli,neighbourhood,66,layered,calm,
77.5828148,12.9034217,K R Layout,neighbourhood,84,blast,calm,
77.5708953,12.8830861,Srinidhi Layout,neighbourhood,56,layered,calm,
77.5946165,12.8917559,Govinda Reddy Layout,neighbourhood,62,layered,calm,
77.5941914,12.8905542,Mico Arekere Layout 1st Stage,neighbourhood,78,blast,calm,
77.6491037,12.9548407,Rustum Bagh,neighbourhood,57,layered,chaotic,
77.6864573,12.9960265,Kamdhenu Nagar,neighbourhood,66,layered,calm,
77.5611156,13.0233739,Deewanarapalya,neighbourhood,62,layered,calm,
77.5679972,13.1150894,Anantapura,neighbourhood,63,layered,calm,
77.5586193,13.1196469,Ramagondanahalli,neighbourhood,54,layered,chaotic,
77.5966914,13.0357115,Amarjyothi Nagara,neighbourhood,70,layered,calm,
77.6060803,13.0503251,Coffee Board Layout,neighbourhood,67,layered,calm,
77.6115282,13.0562455,Dasarahalli,neighbourhood,67,layered,calm,
77.6140682,13.0272035,Shampura,neighbourhood,57,layered,calm,
77.7094296,13.0027899,Ayyappanagara,neighbourhood,53,mixed,alive,
77.6927879,13.0375814,Maragondanahalli,neighbourhood,66,layered,chaotic,
77.6860657,13.0304962,Varanasi,neighbourhood,68,layered,calm,
77.7056756,13.0039325,Devasandra,neighbourhood,54,mixed,alive,
77.6800333,12.9633466,Ramesh Nagar,neighbourhood,56,layered,calm,
77.7541058,12.9645584,Vinayakanagar,neighbourhood,63,mixed,alive,
77.6792809,13.0194149,Kowdenahalli,neighbourhood,65,layered,calm,
77.6182669,13.0816353,Sampigehalli,neighbourhood,78,blast,vibrant,
77.6592222,13.0155749,Vijaya Bank Colony,neighbourhood,80,blast,calm,
77.7320471,13.0138919,Kurudu Sonnenahalli,neighbourhood,67,layered,calm,
77.5109895,13.0890496,Ganigarahalli,neighbourhood,62,layered,calm,
77.520684,13.0869293,Somashettihalli,neighbourhood,65,layered,calm,
77.6907933,12.9786665,Ferns Habitat,neighbourhood,60,mixed,alive,
77.6524573,12.8994357,Somasundarapalya,neighbourhood,53,bleh,chaotic,
77.574927,12.8717255,Brookes Haven Layout,neighbourhood,63,mixed,alive,
77.6692313,12.9630327,Islampur,neighbourhood,48,layered,chaotic,
77.7044101,12.9612778,Chinnappanahalli,neighbourhood,64,mixed,alive,
77.6712268,12.963786,Kareem Nagar,neighbourhood,59,layered,chaotic,
77.7103962,12.9628131,AECS Layout D Block,neighbourhood,52,layered,chaotic,
77.7158229,12.9651088,AECS Layout B Block,neighbourhood,74,mixed,alive,
77.711188,12.9645343,AECS Layout A Block,neighbourhood,74,mixed,alive,
77.6649676,12.9670219,Nellurupuram,neighbourhood,62,layered,calm,
77.6037799,12.9129858,MICO Layout,neighbourhood,68,layered,calm,
77.6123722,12.9076689,Mahadeshwara Nagara,neighbourhood,84,blast,calm,
77.5884756,12.9180954,DK Naik Nagar,neighbourhood,79,layered,calm,
77.5750504,12.9325983,Yediyuru,neighbourhood,85,blast,calm,
77.4643962,12.9299613,Kommaghatta,neighbourhood,63,layered,calm,
